label,data
1,아 그리고 전세 집인데 투룸이어야 하고 교통편이 좋아야 하며 4000이하여야 해
1,교통편이면 버스가 많이 다니는 거야 도로가 넓은 거야 키키
1,그런 집은 존재하지 않아 원룸도 전세 3천함
1,나는 차도 없는데 도로가 넓은 게 무슨 소용...
1,그래도 넓은 도로 보면 속이 뻥 뚫리는 거 같지 않아?
1,키키 집 앞에 나왔는데 8차선 도로 어때 교통 좋네 교통 명소
1,그냥 내가 원하는 곳으로 가는 버스 한 대면 족해
1,그냥 천안ic옆에 집 짓는 게 낫겠다
1,시골도 버스 한 대는 있을걸 근데 그 한 대가 하루에 3개인 거지
1,아 내가 미안하다. 그냥 전세 집에 투룸에 나한테 차 공짜로 대여해주면서 전세금 4천 이하
1,세상... 차를 대여해줘도 운전을 못하니...
1,키키 면허도 없는데 차있어서 뭐하냐
1,내가 면허 없는 게 중요해?
1,*이 베스트 드라이버야
1,나를 항상 옆에 끼고 다닐려면 하루 20정도씩 고정 지출될 텐데
1,그럼 같이 사는 거임? 그럼 차 있으면 베스트
1,하루? 그냥 나는 걸어 다닐게.
1,꼭 차를 타고 다녀야 하는 건 아니잖아? 자전거도 있어
1,자전거를 타고 다니느니 그냥 터미널 앞에서 버스 타고 천안 어디든 갈 거야
1,자전거 타고 통학 해봤는데 진짜 힘들어
1,그냥 출퇴근도 안하고 집에만 있을 테니까 돈만 고정적으로 들어왔으면 좋겠다 월 200씩
1,자전거는 운동 겸 타고 다니는 건데 *이는 운동도 싫어하는데 자전거를 어캐 타고 다녀
1,그니까 버스가 최고야 잠도 잘 수 있음
1,나 너네랑 얘기하기 싫어... 겁나 뭐라 하네 ㅠㅠ
1,비행기 타고 다닐게 그냥
1,사실 최고로 치면 택시가 최고 아닐까...?
1,택시는 비싸잖아 가성비 따져야지
1,그냥 차 주는 회사 취업할게 내가. 면허는 누가 따줄래?
1,차를 주는 회사가 아니라 집 옆 회사로 취업해...
1,인턴 마렵다 취업 하기 싫어 동기들은 인턴 하는데 난 아무것도 안 함 ㅠ 뿌엥
1,난 정말 알바 인생 언제 마무리하지
1,인턴보단 뭐든 정규직으로 들어가 일단 다들...
1,공단은 정규직 하려면 인턴 해야 돼
1,근데 공단에서 너 써준다 그래?
1,오 어디 사회 복지 그런데 가는 거야?
1,근로 했었음 무시 노노
1,아 맞아. 우리 엄마 산재 *가 해줌
1,아 진짜? 좋은 분이시네 친구
1,키키 접수 했었지 이름 넘 신세대이신 것
1,성함이라고 해주겠어? 우리 오마니이신 걸
1,그건 ㅇㅈ 근데 산재 처리하는 거 엄청 힘들다던데
1,산재 받기가 힘든 거 아니냐 증거만 확실하면 바로 처리돼
1,그럼 나 지금 일하고 있으니까 한 대만 때려주라. 동영상 찍고 있을게
1,ㅇㅎ 맞아 근데 회사에선 잘 안 해 줄려 하는 게 좀 빡쳐
1,보험료 오르니까 키키 근데 요즘엔 안 해주면 신고야
1,아 취업이나 하고 싶다.
1,병원비 제가 낼게요 취업 시켜주세요
1,많이 까다로워졌다 해서... 나도 다치면 너가 처리해 주냐
1,키키 나중에 취업하면 다쳐서 산재할래 보상금 줄까 하면 바로 산재 받아라
1,왜? 그게 그거 아니야?
1,보상금은 회사에서 불이익이 안 가잖아 키키
1,산재는 나중에 후유증 와도 요양 보험으로 넘어가는데 보상금은 그냥 일시금
1,군인들은 산재 처리 되나?
1,엄청 많이 다치잖아
1,군인들은 나라사랑 카드 발급 받으면 최대 5000만원까지 보험 처리 되는데 죽어야 주는 걸로 알고 있음 키키
1,군인이 산재가 어딨냐 걍 국군병원 고고지
1,죽어야...? 진짜 나중에 아들 낳으면 꽁꽁 숨겨 놔야지 안되겠어
1,국군병원가서 그냥 다칠 거 평생 불구 되서 나오는 것보단 진짜 휴가 끊고 바로 민간 병원 가야 돼...
1,"요즘 군대 좋아져서 죽진 않을걸,"
1,아 국군병원 가면 잘 안 해줘 검사나 치료?
1,요즘도 군대에서 애들 많이 죽어...
1,장비 미숙지로 걍 만지다 터져 죽고 지뢰 밟아 다리 잘리고 자살하고... 엄청 많아 안 나올 뿐이지 뉴스에
1,"난리 났대 국군은 의예과 나오긴 하는데 사회보단,"
1,아... 우리 오빠 때도 엄청 많았다 그러는데 지금은 내가 뭐 들을 사람이 없으니까 몰랐네
1,안 그래도 주변에서 걍 다리 삐고 다친 거 민간병원에서 치료 받으면 끝나는 거 간부들이 안 보내줘서 억지로 군 병원 다니다 평생 다리 절고 다니고 그러는 형들 많아...
1,그건 그래 군대는 기사도 잘 안 나더라 ㅠㅠ
1,와 미쳤네... 아니 어린 나이에 끌려가는 것도 억울할 텐데 몸도 성치 못하면 진짜 억울할 듯
1,군대에 민간 병원을 그냥 설치를 해줘야 해
1,군인들 싸다고 막 쓰면 안되는데 그것도 걱정이야 가뜩이나 고생하는데
1,나는 무조건 휴가 써서 나갔어
1,근데 휴가도 또 마음대로 쓸 수 있는 게 아니지 않아?
1,우리 부대는 다치면 바로바로 내보내주긴 했음
1,그마저도 군 병원 가서 진단서 끊어와야지...
1,그건 그렇지 근데 지금 코로나라서 더 안될 듯
1,우선 군 병원을 한번 들르긴 해야 하구나?
1,무조건 들러서 의사 군인 소견서 떼와야 함 키키
1,뭔가 믿음이 부족해 군대 자체가
1,진짜 군대 안 가는 거 감사함...
1,돈 제대로 주고 제대로 대우해줬으면 간부들도 병사들 그렇게 진료해주진 않을 듯 키키
1,대학 선배 중에 저체중 갈려고 설사약 먹는 애 있었음
1,와 그런 사람들 되게 많다더라.
1,근데 난 대학 안 가서 주변에 아저씨 뿐이라 몰라
1,대학교를 가야 세상 다양한 주변 사람들 많이 사귀지 왜 안 갔어
1,난 대학교 졸업장이 필수가 되어버린 이 사회가 슬프다
1,지금 고졸 무시하시는 건가요? 신고합니다
1,고졸 무시가 아니라 그래도 졸업장 따면 좋잖아 사회 나가서도...
1,내 세대가 특성화고가 활성화 됐다면 대학 안 갔을 듯
1,특성화고 공부 잘해야 하잖아. 못 가는겨
1,키키 우리 고딩 때 얘기야 *야...
1,"아니 중딩 때부터 활성화 됐어야 특성화고를 생각해 보고 가지,"
1,키키 아 맞네 고딩 때 얘기 나오면 어쩔겨 이미 학교 다니는데
1,그건 그렇지... 아 담주 학교 가네 개극혐
1,대면임 이제? 난 아직 비대면인데
1,니네는 대학원 갈 사람 없어?
1,대학원 갈 시간에 한 푼이라도 더 벌어 놔야지
1,대학원 학비가 비싸서 가고 싶어도 못 가 난 문과라 ㅠ
1,아 그래? 그냥 피폐해진 연구원이 있으면 그게 대학원생 아님?
1,근데 문과는 대학원 나오면 뭐해?
1,다 교수님 되는 건가
1,박사가 되지 ㅎ 우리는 연구실 이런 것도 없어
1,척척박사 생각나네 키키 박사 아니라고
1,신기하네 국문학과 박사 뭐 그런 건가
1,척척고졸이라구요 아직; 우리는 보통 박사 되거나 복지 연구소 같은데 감
1,와 너네 되게 학생 같고 멋지다
1,그것 또한 좋아 보이는 방법 같긴 하다
1,근데 졸업을 언제 할지 아무도 안 알려줌
1,우리 집은 오빠도 나도 고졸이라 고졸이면 고학력임
1,오 고졸 출신에서 드디어 거물급 인재가 나오는 것인가
1,우리 아빠는 대졸이라 우리 다 대졸 만들려고 해
1,우리 집안의 고학력자인 나의 명예를 걸고 내가 뛰어난 사람이 돼주겠어
1,우리 부모님도 마인드가 옛날 사람이라 죽어도 대학가라 해서 내가 간 케이스...
1,키키 요즘 고졸도 다 잘살아
1,"맞앙 내가 함 열심히 살아볼게,."
1,우리 또래는 고졸들이 돈 버니까 잘 사는 거지... 나중 되면 다 비슷할 듯
1,"그건 맞아, 근데 금수저 애들은 죽어도 못 따라가 ㅎ"
1,나도 마음 만은 금수저야. 우리 부모님이 나에게 무려 준건 금수저 내면
1,금수저네 부모님들은 정말 자식들 금 숫가락으로 밥을 먹일까?
1,개내도 밥은 쇠 숟가락으로 먹을 듯 ㅎ
1,키키 겁나 웃기넹 은수저로 먹어야지. 음식에 독 들어 있나 확인하려면
1,오 은수저가 건강엔 더 좋은 거 같아.
1,난 진짜 금수저 가족이 뭐하고 사는지 보고 싶다
1,우리 집? 그냥 뭐 다른 사람 사는 거랑 똑같아~
1,겉보기엔 우리랑 다를 바 없긴 하더라 그런 애들
1,일부러 밖에서 그러라고 교육 받지 않았을까
1,어 맞아 그런 교육 받으면서 자라긴 했어 나도.
1,어디가서 자랑 질은 안 하는데 지네 집이 강남 어디에 있고 개인 연습실이 몇 개고 엄청 자랑하는 거 가끔 꼴 받음
1,근데 어캐 걔네 부모님이 잘 사는 걸...
1,부럽긴 하더라 너도 금수저 아니였나 *이 ㅎ
1,난 딱히 살면서 진짜 부러운 적이나 꼴 받은 적 한번도 없음... 만족스러워서 난
1,부잣집 자식들은 카톡도 대리 업무 시키지 않을까...?
1,키키 카톡을 왜 대리 업무 시켜 뭔 소리야
1,근데 금수저들은 연애도 마음대로 못하잖아 ㅠ
1,아침 드라마에서 봤는데 금수저 만나려면 물싸대기 한번 맞어야 하던데?
1,오 그 정도 팬트하우스애들은 내가 아직 못 만나봤어!
1,난 몰래 만나서 돈 다발 좀 받아 보고 싶다 더 안주냐고 물어볼 거야 꼭 ㅠ
1,이 정도로 절 떼어 놓으시겠다구요?
1,하 키키  이 정도로? 전 댁 아드님이 결혼할 때도 애기가 초등학교 입학할 때도 따라갈 거에요. 싫으면 더 주세요
1,금수저랑 결혼하고 시달리느니 마음이 부자인 *이랑 살래 그냥
1,키키 *이가 마음 부자였어? 언제부터...? 몰랐네
1,빵빵한 편이야 내가 키키 근데 배풀 줄은 모름
1,괜찮아 그렇게 이기적이야 돈도 잘 모으고 하는 거지
1,키키 베풀 줄 모르는데 왜 부자죠
1,근데 왜 모은 돗 없는지 아는 사람
1,그거 다 애플이 배신 때려서 그래 나는 배신 안 해
1,ㅋㄲㄱ 애플이 왜 주식 떨어짐?
1,엥 안돼 나 애플 주식만 있어
1,뭐든 주식은 많이 가지면 좋은 거지 결혼 자금 모을려면
1,결혼 진짜 하고 싶은데 결혼은 현실인 듯
1,내 모든 자금을 결혼 자금으로 만드는 거야 !
1,나도 지금 굳이 필요 없는 돈들 다 결혼 준비 자금이야...
1,얼마 모았냐 부럽다 난 0원
1,키키 난 해봐야 이백 안됐을 듯...
1,대학교 졸업 전에 2000만원 모으고 직장 다니면서 한 달 200씩 저축하면 결혼 30전에 할 수 있지 않을까?
1,한 달에 200을 넘게 벌 수 있나
1,한 달 200씩 저축이요...?
1,저 지금은 200을 못 벌어서... 실감이 안나요
1,대학교 졸업하면 그래도 250은 넘게 받던데... 이래서 결혼 준비가 힘든 거구나
1,"세후가 중요하지, 월세 들어갈 수도 있고"
1,내가 고졸이라 미안하다... 아 진짜 결혼은 망상인 것인가
1,내가 벌어올게 그냥 집안일만 잘 준비해 놔
1,"키키 신부 수업 가즈아 ., 좋네"
1,난 집안일 잘 해.
1,동물 키워도 털 하나 안 날릴 자신 있어
1,아니 동물에 털 들어간 애들 안 키운다고 안 받아 나로 충분해
1,"말티푸 말티푸 말티푸 너무 너무 너무 너무 키우고 싶어 진짜루,"
1,하긴 운도 털 많이 날리기는 하는데...
1,날리는 게 아니라 다리털 많아서 한 거야.
1,아니 말티푸 200넘는데 말이 되냐
1,엥 정말요? 아 난 근데 동물들 돈 주고 사고 싶지는 않음
1,반려동물들 키우기에는 길들이기 쉽지 않지 않을까?
1,그건 맞음 ㅠ 유기견은 근데 다 시고르자브종이 많아 믹스들
1,우린 항상 길고양이 길강아지들 누가 버리고 가거나 죽어가는 애들 살려주고 자연스럽게 키우게 된 케이스들이었어서... 별 생각 없네
1,걔네도 다 생명들인데 들여서 키울 사람 있음 좋지.
1,근데 난 안타깝게도 아니야
1,"품종 애들은 못 버리지 돈 아까워서, 근데 동물에 가치를 나누는 것도 짜증 남"
1,나는 동물 없이 못살아
1,자기도 동물이라는 걸 항상 기억해주길 바래
1,그러게 우리도 동물처럼 살잖아
1,난 이미 짐승인 거 자각 하고 있고. 날 키워줄 동물이 필요해
1,사실 우리가 동물을 키운다기보단 우리를 키워줄 사람들을 찾는 게 나을 수도 있지
1,아 인정; 지금은 아직 엄마가 나 키워줌 감사합니다
1,난 너무 빨리 벗어나 버렸나 봐.
1,아직 우리 부모님도 나 잘 키워주심. 자주 가출을 해서 그렇지
1,"키키 가출 무슨 일, 난 자취해도 엄빠가 키워주는 거나 다름없음 엄마 아빠의 개"
1,키키 누가 보면 진짜 가출인 줄 알아...
1,혹시 어머니가 우리 강아지~ 하시지 않아?
1,그래도 집엔 알아서 잘 들어가...
1,우리 강쥐 엄마들 국룰 아니냐
1,아 애덜앙 매번 말하는 거긴 한데 배드민턴 언제 쳐 주냐
1,오늘 술자리 가질 수도 있는데 파토 나면 오늘 치고 자잦
1,아니 피곤해 운동을 할 체력이 있어야지;
1,술자리요? 이 시간을 빌어서 통보하는 거야?
1,음 아까 전화 오긴 했는데 너무 급작스러워서 얘기를 못했네 하하 아 철봉 하고 싶다
1,"철봉 그거 매달려서 한 바퀴 도는 거 해보고 싶어 내가 팔 근육이 없어서, ㅋ"
1,그럼 오늘 하자 친구들
1,도와줄 테니까 돌아가기만 하면 되는 거지?
1,일단 철봉에 매달리는 것부터 빡세
1,철봉은 그냥 빨래 걸어두는 곳 아니냐
1,철봉에 왜 못 매달리는 거지... 악력부터 단련해야 하나
1,"왜 매달려야 하는 건데, 힘들어 팔굽혀펴기도 못햐"
1,중력이 존재하는데 왜 굳이 매달려서 떠있으려고 하는 거야?
1,거스르고자 하지 말고 조용히 배드민턴이나 치자
1,*이도 무릎 붙히고도 한 개도 힘들어 하하 중력을 거슬러야 강해지는 법
1,"인정 자연을 거스르면 안되.,"
1,나는 그냥 배드민턴이나 칠래... 같이 칠 사람 역할만 해주라
1,배드민턴 그거 자기랑 치면 힘 빠져서 안돼...
1,배드민턴이 아니라 그냥 공 줍기 놀이야
1,원래 힘들수록 운동 되는 거 아님?
1,공 줍기 놀이 ㅇㅈ 키키 치는 시간보다 주우러 가는 시간이 더 길어
1,아니 의미가 퇴색 됐잖아요
1,아니 바닥에 떨어지지 않게 여기저기 뛰어다니면서 치면 되지 ㅠ
1,왜 나보고 앞으로만 치라고 해 ㅠㅠ
1,재미와 성취감 둘 다 잃을 바에 철봉 하면서 성취감이라도 쌓자...
1,코트라는 게 있잖아 코트 안으로 쳐야지
1,코트 안으로는 칠 걸...?
1,아 배드민턴 치자 ㅠㅠ 스파이더맨이라고 내 라켓
1,그거 부러질 때까지 안 보내 줄 거야 집에
1,아웃 할 때 마다 5만원씩 하면 잘 칠걸 ㅎ
1,그냥 게임이나 하자. 그렇게 같이 해주기 싫으니
1,게임도 사실 잘 못하지만 스타라면 같이해줄 의향 있어
1,나 요즘 다시 옛날 게임에 빠짐
1,크레이지 아케이드 할래 애들앙? 오늘 일 끝나고 하자
1,크아 진짜 초 3이후로 안 했던 거 같은데...
1,크아 오랜만이다 진짜 하고 싶음 재밌었는데 ㅠ
1,그니까 ㅠㅠ 나도 안 한지 엄청 오래됐음 하자 오늘 ㅠㅠ
1,나 맨날 갖혀 있을 거 같아 그러면 물풍선 안에
1,나도 크아 진짜 못하는데 키키 갠창?
1,키키 거진 셋이 동시에 터질 가능성 95%네 공정하고 좋아
1,이 정도면 한 명 못해서 아무도 못 치는 배드민턴하고 뭐가 다른 건지...
1,키키 그래도 공 줍기 보다는 재밌을 거 같은뎅
1,키키 겁나 웃기네 아니 그래도 크아는 무료 바늘 2개 있잖아.
1,그거로 번갈아가면서 한 명씩 살아나도 6번 할 수 있어
1,아직도 무료 바늘을 준다고...? 신박한데
1,겨우 2개? 한판도 못함 진짜
1,얘기하다 보니까 더 하고 싶지 않니?
1,나는 근데 카트를 제일 하고 싶어
1,카러플 하자니까? 카러플 재밌어
1,카트는 하면 나도 같이 움직여야 해서 힘들어
1,대체 카러플이 뭐 하는 게임이냐구...
1,"카트라이더라고, 모바일 버전이라 러쉬플러스 붙은 거임"
1,아니 우리 크아 하자고 카트 말고 ㅠㅠ 나 카트 겁나 못함
1,세상 게임 할려해도 이름을 알아야 하고 이름을 알면 영어를 알아야 하고...
1,키키 카트만 쳐도 나와! 크아는 모바일 안 나오나
1,나는 카트 할 거면 ㄹㅇ 카트 타고 세계 일주 하는 거 아니면 안쳐줌
1,현실 카트 하자는 거네 다같이 죽자고
1,나 그 루지 타보고 싶어 ㅜㅠ
1,와 *이랑 나랑 루지 통영 처음 들어왔을 때 탔었는데 재밌어 ㅠㅠ
1,통영 루지는 내가 *이랑 가본 적이 있지 매우 재밌다구
1,헐 왜 나만 빼고 갔어
1,고등학교 친구 커플이랑 갔었는데 왜 안 왔냐? ***야?
1,키키 통영같이 국내 여행 말고 인천공항 가자 *이가 가고 싶대 공항
1,아니 불러야 가죠; 난 카트 광팬이라 타보고 싶었는데 ㅜㅠ
1,루지 원래 외국 어디꺼지? 거기 가자
1,그거 말고 스위스 가서 패러글라이딩 하고 싶어
1,스위스까지 가야 되냐 패러글라이딩 한국에서 할 수 있음
1,그냥 스위스 하늘을 나는 게 포인트야
1,스위스 경치가 알아주잖아... 맞아 그거지
1,난 티비로 볼래 간이 콩알 만해서 못해 ㅠ
1,그럼 인청공항으로 여행 가자. 큰 공항 가보고 싶어
1,여행을 공항으로 가는 건 정말 색다른 전환인 걸?
1,키키 혹시 노숙이야 잠자는 건? 좋네
1,키키 내가 없었으면 이런 여행 할 생각을 할 수 있었겠냐고 ㅠ
1,그럼 거기서 여행 하고 있어
1,코로나 풀리면 잠깐 라멘 먹으러 오사카 좀 갔다 올게
1,난 집에서 쉬어야 할 거 같아
1,아마 그날 백신 예약이었을 거야 ㅠㅠ
1,왜 그냥 그날 결혼한다고 하지 그래?
1,인천공항에서 민폐 끼치면서 결혼식 올리고 거기서 바로 여행? 좋지~
1,엥 어떻게 알았어 아마 결혼식 할 거 같아;
1,이렇게 날씨 좋은 날은 민폐 좀 끼쳐도 돼.
1,사람들이 다 온화해져서 상관 없어
1,와 근데 오늘 진짜 날씨 미쳤더라
1,"난 날씨 별로라고 생각하는데, ㅠ 환절기 싫어 비염인은"
1,난 비염 하나도 없어서... 근데 조금 추워
1,나도 잘 때마다 고생하긴 하지만 코털을 너무 많이 잘라서라고 생각하겠어 내 코가 예민한 건...
1,키키 코털 함부로 건들면 안돼
1,하지만 조금 자를 필요는 있었어 잘했어
1,조금만 잘라야 했는데... 겨울 오면 콧속 추워서 어떡해 이불 덮어 줘야 해 ㅜ
1,아니 겨울에 마스크 쓰잖아 콧물 나와서 마스크 벗으면 콧물이 얼어;
1,키키 아니 입김 때문에 마스크 축축해진다고... 더 추워져
1,ㅗㅜ 쒸엣 상상의 나래를 펼치게 하지 말자고 친구들~
1,키키 꿀팁: 방한 마스크 쓰고 그 위에 덴탈
1,ㄴㄴ 꿀팁. 지금부터 사람들 다 집에 가두고 나만 나가서 놀면 마스크 안 써도 됨
1,다들 상상력이 풍부하네 난 그냥 친구들을 집으로 불러야겠어
1,팩트는 사람 다 가두면 노동자들 다 쉬어서 아무 데도 못 감
1,아 걍 내가 갇혀야겠다.
1,날씨는 집안에서 봐도 좋은 거 알 수 있어
1,그래도 겨울철 등산 가서 노을 보는 건 못 참을 거 같아
1,겨울 등산 재밌는데 위험하다 ㅠ 빙판 떔시
1,추운데 어두워진 산? 미아 되기 딱임
1,그때부터 우리의 신혼 생활이 시작되는 거야
1,뭐야 자연인 하는 거야? 재밌네
1,너 왜 자꾸 나를 궁지로 몰아넣어 ...
1,그래야 같이 산 가면 안 찡찡거리고 해지기 전에 빠딱 내려오지 않을까?
1,차 타고 산 가는 루트는 없는겨?
1,따뜻하고 좋은데 ㅎ
1,와 또 추석 연휴 끝나니까 확진자 폭증했다더라 하루에 3000명 돌파했다던디
1,허걱 추석 파워가 그렇게 센 건가?
1,그렇게 싸돌아다니는데 안 생기는 게 이상한 거 아니냐 ㅠ
1,진짜 그만 좀 돌아다녀 제발~
1,인즈엉... 추석은 사실 코로나 바이러스의 명절이었던것인가
1,키키 그래도 다른 나라는 미쳐 돌아가는 거 비해서 아직까진 양호해
1,아니 원래 이렇게 연휴 길면 코로나 많이 나오더라
1,마져... 그래도 전날보다 600명 정도 늘어난 거면...
1,도대체 우리나라에 사람이 왜 이렇게 많아? 요즘 새삼 느낀다
1,키키 아직 내 친구들은 코로나 많이 안 걸린 거 같아
1,근데 진짜 다들 어디서 이렇게 걸려오는 거냐 나만 안 걸려?
1,난 내 주변 지인 중에 직접 걸린 사람 한 명도 없어
1,신기하네 그것도... 그래도 몇 십만명 걸렸을 텐데 총
1,나도 가족이 걸렸는데도 안 걸린 애 있어 신기하지 않냐
1,그건 가족들 사이에서 왕따였던 거 아닐까...?
1,알고 보니 가따  키키 ㅈㄹㄷ네
1,앗; 그렇게 말하면 넘 슬프잖아 사이 좋아 가족이랑
1,내가 얼굴도 모르는 친구분에게 말이 심했어 죄송해요
1,가족 일은 알다가도 모르는 거야.
1,암튼 다들 코로나 조심 하라구
1,그니까 코로나 조심해야 돼 그래도 겨울이라 다행이다
1,겨울 되면 좀 줄어드나 확산 추세가?
1,겨울에 줄어들었으면 러시아나 캐나다는 확진자가 나오면 안되지...
1,추워서 그나마 줄어든다고 했었어
1,그래서 여름에 걱정했는데 생각보다 덜하네
1,아 근데 진짜 주변에 아무도 안 걸리니까 약간 안전 불감증 생기는 듯
1,키키 걸렸는데 귀찮아서 보건소 안 가는 걸 수도 있어 키키
1,나만 불안하냐 난 학교 다녀서 그런가
1,야 그래도 스위스 일간지에서 인터뷰 한 거 보면 코로나 오늘부터 1년 안에 종식 가능하다고 본다 함
1,코로나 그거 종식될려 하면 변이 나오고 벌써 몇 번째야...
1,그냥 다들 포기하는 분위기던데 우리나라만 심각해 키키
1,스위스 뭔데 신빙성 있는 거겠지? 기대하게 하지마
1,코로나19 백신 개발자들 얘기야
1,백신 효과 있는 건지부터 물어봐 줘
1,백신 모더나랑 화이자 미국 거 아닌가
1,모더나의 스테판 방셀 최고 경영자가 스위스 일간지 인터뷰에서 말한 거라고.
1,암튼 ceo가 하는 소리구나. 배운 사람들 말은 대체로 맞지
1,키키 너 뭐 스위스 일간지 파는 사람 아니지?
1,근데 그 대머리 남자애 예언하는 애 개는 뭔 말 안 하나 궁금한디
1,그게 누구세요? 아직 초면도 아닌 분이야
1,ㄷㄷ 암튼 코로나 다들 이겨내고 해외 가고 싶다구 얼른~
1,1년만 일단 더 존버하자 친구들
1,아 진짜 1년 안에 종식되면 출근할 때 또 화장하고 다녀야 하네 벌써 지겨워
1,****는 갑자기 왜? 뭔데
1,키키 ****는 진짜 루머고. ㅠㅠ
1,****가 지원하고 미는 사업들이 이런 거에 관련된 거였어서 코로나 바이러스 퍼뜨리고 돈 버는 거라고 루머 떴었음
1,우한에서 발생한 건데 **** 소재 연구실에서 퍼진 거라고 중국 어떤 박사가 인터뷰로 고발했었거든...
1,아니 * 너 그거 아냐고 중국에서 생긴 게 아니라는 루머도 있어 ㅎ
1,키키 야 근데 루머 아닌 소름 돋는 일 있음...
1,뉴질란드에서 수출 된 키위가 중국에서 신종 코로나 양성 반응 나옴... 거 아니냐 과일이 왜 걸려
1,키위가 왜 코로나에 걸려?
1,키위 과일 아니라서 그래 조류잖아
1,아 진짜 누가 쟤 입 안 꼬매주나? 말 안 했으면 좋겠다...
1,뉴질랜드에서 출발해서 중국에서 검사했는데 코로나 양성 나오고 그 키위를 판매하거나 유통한 사람들은 다 음성임
1,그거는 그냥 장비 문제 아닌가 싶네... 다시 검사하라 그래
1,근데 과일에 어떻게 검사한 거지?
1,그냥 바이러스 묻은 거 아닌가
1,근데 이미 뉴스에 나온 내용임.
1,아무튼 수분크림 추천 좀
1,수분크림은 닥터지가 최고 아닐까?
1,비욘드 수분크림이 제일 베이직 하지 근데 겨울이라 보습 사야 할 걸?
1,난 좀 기름지지 않고 깔끔하면서 수분만 속에 싹 채워주는 거
1,나도 기름진 피부라 제발 스네일 크림 같은 거 말고...
1,유분이 부족해서 기름 나오는 걸 수도 있어
1,엥 그건 무슨 말이야? 첨 들었음
1,유분이 부족하면 기름이 나와...?
1,난 누가 봐도 지성 피분데
1,유수분 밸런스 안 맞거나 유분이 너무 부족해서 유분 채워 줄려고 유분을 뱉어 내는 거지
1,아 어렵네... 너 피부 연구 하냐
1,그래도 관심 있어 하는 애가 있으니까 대화가 수월하네
1,그래서 피부 지성인지 아닌지는 피부과 가서 판단 받고 관리하는 게 좋아
1,비싸면 그냥 유수분 반반인 거 쓰셈
1,난 근데 진짜 뭔지 모르겠어. 지성 건성 그 사이 어디쯤...
1,피부과 요즘은 얼마나 할려나... 돈 좀 생기면 한번 가보고는 싶은데
